start	end	tok	normtok	lemma	pos	rfpos	coreference	dependency	parentID	NER	sentstart	senID	stwr	frame	speaker	intexpr	note
0	6	Sterben	Sterben	sterben	NN	VINF.Full.-	-	aux	1	-	yes	0	direct.speech.1	-	-	-	-
8	10	muß	muß	müssen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	-	root	1	-	no	0	direct.speech.1	-	-	-	-
12	13	er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	-	subj	1	-	no	0	direct.speech.1	-	-	-	-
15	15	,	,	--	$,	SYM.Pun.Comma	-	root	3	-	no	0	direct.speech.1	-	-	-	-
17	23	sterben	sterben	sterben	VVINF	VINF.Full.-	-	root	4	-	no	0	direct.speech.1	-	-	-	-
25	25	!	!	--	$.	SYM.Pun.Sent	-	root	5	-	no	0	direct.speech.1	-	-	-	-
27	29	Und	Und	und	KON	CONJ.Coord.-	-	root	6	-	yes	1	-	-	-	-	-
31	33	die	die	der	ART	ART.Def.Nom.Pl.*	-	det	8	-	no	1	-	-	-	-	-
35	43	Wüthenden	Wütenden	wütende	NN	N.Reg.Nom.Pl.*	-	subj	9	-	no	1	-	-	speaker.1	-	-
45	52	stürzten	stürzten	stürzen	VVFIN	VFIN.Full.3.Pl.Past.Ind	-	cj	6	-	no	1	-	-	-	-	-
54	57	sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Pl.*	-	obja	9	-	no	1	-	-	-	-	-
59	61	auf	auf	auf	APPR	APPR.Auf	-	objp	9	-	no	1	-	-	-	-	-
63	65	den	den	der	ART	ART.Def.Acc.Sg.Masc	15|17|46|69|72|128	det	13	-	no	1	-	-	-	-	-
67	74	Erälaten	Erälaten	Erälat	NN	N.Reg.Acc.Sg.Masc	15|17|46|69|72|128	pn	11	-	no	1	-	-	-	-	-
76	76	,	,	--	$,	SYM.Pun.Comma	-	root	14	-	no	1	-	-	-	-	-
78	80	der	der	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	12|13|17|46|69|72|128	subj	24	-	no	1	reported.speech.2	-	speaker.2	-	-
82	83	in	in	in	APPR	APPR.In	-	pp	24	-	no	1	reported.speech.2	-	-	-	-
85	90	seinem	seinem	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Neut	12|13|15|46|69|72|128	det	18	-	no	1	reported.speech.2	-	-	-	-
92	100	Entsetzen	Entsetzen	entsetzen	NN	N.Reg.Dat.Sg.Neut	-	pn	16	-	no	1	reported.speech.2	-	-	-	-
102	106	jetzt	jetzt	jetzt	ADV	ADV	-	adv	16	-	no	1	reported.speech.2	-	-	-	-
108	110	den	den	der	ART	ART.Def.Acc.Sg.Masc	-	det	21	-	no	1	reported.speech.2	-	-	-	-
112	116	Mönch	Mönch	Mönch	NN	N.Reg.Acc.Sg.Masc	-	obja	24	-	no	1	reported.speech.2	-	-	-	-
118	119	zu	zu	zu	APPR	APPR.Dat	-	pp	24	-	no	1	reported.speech.2	-	-	-	-
121	125	Hülfe	Hilfe	Hilfe	NN	N.Reg.Dat.Sg.Fem	-	pn	22	-	no	1	reported.speech.2	-	-	-	-
127	130	rief	rief	rufen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	rel	13	-	no	1	reported.speech.2	-	-	intexpr.2	-
132	132	;	;	--	$.	SYM.Pun.Sent	-	root	25	-	no	1	-	-	-	-	-
134	139	dieser	dieser	dieser	PDAT	PRO.Dem.Subst.-.Nom.Sg.Masc	-	root	26	-	no	1	-	frame.44	speaker.44_46_11	-	-
141	144	aber	aber	aber	KON	ADV	-	adv	28	-	no	1	-	frame.44	-	-	-
146	150	hatte	hatte	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	-	root	28	-	no	1	-	frame.44	-	-	-
152	156	schon	schon	schon	ADV	ADV	-	adv	39	-	no	1	-	frame.44	-	-	-
158	160	vor	vor	vor	APPR	APPR.Vor	-	pp	39	-	no	1	reported.speech.3	frame.44	-	-	-
162	164	der	der	der	ART	ART.Def.Dat.Sg.Fem	-	det	32	-	no	1	reported.speech.3	frame.44	-	-	-
166	177	Aufforderung	Aufforderung	Aufforderung	NN	N.Reg.Dat.Sg.Fem	-	pn	30	-	no	1	reported.speech.3	frame.44	-	intexpr.3	-
179	181	den	den	der	ART	ART.Def.Acc.Sg.Masc	36|134|135|196|197|245|246|448|449|589|590	det	34	-	no	1	-	frame.44	-	-	-
183	189	Bischof	Bischof	Bischof	NN	N.Reg.Acc.Sg.Masc	36|134|135|196|197|245|246|448|449|589|590	obja	39	-	no	1	-	frame.44	-	-	-
191	193	mit	mit	mit	APPR	APPR.Dat	-	objp	39	-	no	1	-	frame.44	-	-	-
195	200	seinem	seinem	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Masc	33|34|134|135|196|197|245|246|448|449|589|590	det	38	-	no	1	-	frame.44	-	-	-
202	208	eigenen	eigenen	eigen	ADJA	ADJA.Pos.Dat.Sg.Masc	-	attr	38	-	no	1	-	frame.44	-	-	-
210	214	Leibe	Leibe	Leib	NN	N.Reg.Dat.Sg.Masc	-	pn	35	-	no	1	-	frame.44	-	-	-
216	222	gedeckt	gedeckt	decken	VVPP	VPP.Full.Psp	-	aux	28	-	no	1	-	frame.44	-	-	-
224	226	und	und	und	KON	CONJ.Coord.-	-	kon	28	-	no	1	-	frame.44	-	-	-
228	233	sprach	sprach	sprechen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	cj	40	-	no	1	-	frame.44	-	intexpr.44	-
235	235	:	:	--	$.	SYM.Pun.Colon	-	root	42	-	no	1	-	frame.44	-	-	-
237	238	--	--	-	$(	N.Reg.Nom.Sg.Masc	-	adv	44	-	yes	2	direct.speech.44	-	-	-	-
240	241	So	So	so	ADV	ADV	-	adv	45	-	no	2	direct.speech.44	-	-	-	-
243	248	tödtet	tötet	töten	VVFIN	VFIN.Full.3.Sg.Pres.Ind	-	root	45	-	no	2	direct.speech.44	-	-	-	-
250	253	mich	,	--	$,	SYM.Pun.Comma	12|13|15|17|69|72|128	obja	45	-	no	2	direct.speech.44	-	-	-	-
255	255	,	,	--	$,	SYM.Pun.Comma	-	root	47	-	no	2	direct.speech.44	-	-	-	-
257	259	der	der	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	63|129	subj	53	-	no	2	direct.speech.44	-	-	-	-
261	264	Euch	Euch	euch	PPER	PRO.Pers.Subst.2.Dat.Pl.*	73|95	obja	53	-	no	2	direct.speech.44	-	-	-	-
266	268	von	von	von	APPR	APPR.Dat	-	pp	53	-	no	2	direct.speech.44	-	-	-	-
270	275	ganzem	ganzem	ganz	ADJA	ADJA.Pos.Dat.Sg.Neut	71	attr	52	-	no	2	direct.speech.44	-	-	-	-
277	282	Herzen	Herzen	Herz	NN	N.Reg.Dat.Sg.Neut	71	pn	50	-	no	2	direct.speech.44	-	-	-	-
284	288	liebt	liebt	lieben	VVFIN	VFIN.Full.2.Pl.Pres.Ind	-	rel	46	-	no	2	direct.speech.44	-	-	-	-
290	292	und	und	und	KON	CONJ.Coord.-	-	kon	53	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
294	297	Euch	Euch	euch	PPER	PRO.Pers.Subst.2.Acc.Pl.*	79|80|108|114|121|126|159|181|185|186|278|288	obja	61	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
299	299	,	,	--	$,	SYM.Pun.Comma	79|80|108|114|121|126|159|181|185|186|278|288	root	56	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
301	303	Jhr	Ihr	ihr	PPOSAT	PRO.Poss.Attr.-.Nom.Pl.*	79|80|108|114|121|126|159|181|185|186|278|288	app	55	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
305	309	armen	armen	arm	ADJA	ADJA.Pos.Nom.Pl.*	79|80|108|114|121|126|159|181|185|186|278|288	attr	59	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
311	321	Leibeigenen	Leibeigenen	leibeigene	NN	N.Reg.Nom.Pl.*	79|80|108|114|121|126|159|181|185|186|278|288	app	57	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
323	323	,	,	--	$,	SYM.Pun.Comma	-	root	60	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
325	331	tröstet	tröstet	trösten	VVFIN	VFIN.Full.3.Sg.Pres.Ind	-	cj	54	-	no	2	direct.speech.44|reported.speech.6	-	-	intexpr.6	-
333	338	soviel	soviel	soviel	PIS	PRO.Indef.Subst.-.*.*.*	-	subj	61	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
340	341	er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	48|129	subj	45	-	no	2	direct.speech.44|reported.speech.6	-	speaker.6	-	-
343	348	vermag	vermag	vermögen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	-	root	64	-	no	2	direct.speech.44|reported.speech.6	-	-	-	-
350	350	,	,	--	$,	SYM.Pun.Comma	-	root	65	-	no	2	direct.speech.44	-	-	-	-
352	353	so	so	so	ADV	ADV	-	adv	69	-	no	2	direct.speech.44	-	-	-	-
355	360	tödtet	tötet	töten	VVFIN	VFIN.Full.3.Sg.Pres.Ind	-	adv	69	-	no	2	direct.speech.44	-	-	-	-
362	365	denn	denn	denn	KON	CONJ.Comp.-	-	adv	69	-	no	2	direct.speech.44	-	-	-	-
367	370	mich	mich	mich	PPER	PRO.Pers.Subst.1.Acc.Sg.*	12|13|15|17|46|72|128	root	69	-	no	2	direct.speech.44	-	-	-	-
372	372	,	,	--	$,	SYM.Pun.Comma	-	root	70	-	no	2	direct.speech.44	-	-	-	-
374	376	der	der	der	PRELS	PRO.Rel.Subst.-.Dat.Sg.Fem	51|52	root	71	-	no	2	direct.speech.44|reported.speech thought.7	-	-	-	-
378	380	ich	ich	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	12|13|15|17|46|69|128	subj	75	-	no	2	direct.speech.44|reported.speech thought.7	-	speaker.7	-	-
382	385	Euch	Euch	euch	PPER	PRO.Pers.Subst.2.Dat.Pl.*	49|95	obja	75	-	no	2	direct.speech.44|reported.speech thought.7	-	-	-	-
387	390	mehr	mehr	mehr	ADV	ADV	-	adv	75	-	no	2	direct.speech.44|reported.speech thought.7	-	-	-	-
392	398	bedaure	bedaure	bedauern	VVFIN	VFIN.Full.1.Sg.Pres.Ind	-	root	75	-	no	2	direct.speech.44|reported.speech thought.7	-	-	intexpr.7	-
400	402	als	als	als	KOKOM	CONJ.Comp.-	-	konj	77	-	no	2	direct.speech.44|reported.speech thought.7	-	-	-	-
