start	end	tok	normtok	lemma	pos	rfpos	coreference	dependency	parentID	NER	sentstart	senID	stwr	frame	speaker	intexpr	note
0	2	Und	Und	und	KON	CONJ.Coord.-	-	root	0	-	yes	0	-	-	-	-	-
4	6	wie	wie	wie	PWAV	PROADV.Inter	-	adv	3	-	no	0	-	-	-	-	-
8	10	sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	8|21	subj	3	-	no	0	-	-	-	-	-
12	16	kamen	kamen	kommen	VVFIN	VFIN.Full.3.Pl.Past.Ind	-	objc	20	-	no	0	-	-	-	-	-
18	18	,	,	--	$,	SYM.Pun.Comma	-	root	4	-	no	0	-	-	-	-	-
20	22	und	und	und	KON	CONJ.Coord.-	-	kon	3	-	no	0	-	-	-	-	-
24	27	kaum	kaum	kaum	ADV	ADV	-	adv	17	-	no	0	-	-	-	-	-
29	31	mit	mit	mit	APPR	APPR.Dat	-	pp	17	-	no	0	-	-	-	-	-
33	37	ihren	ihren	ihr	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Fem	2|21	det	11	-	no	0	-	-	-	-	-
39	44	vorher	vorher	vorher	ADV	ADV	-	adv	10	-	no	0	-	-	-	-	-
46	59	blutgetränkten	blutgetränkten	blutgetränkt	ADJA	ADJA.Pos.Dat.Pl.Fem	-	attr	11	-	no	0	-	-	-	-	-
61	66	Händen	Händen	Hand	NN	N.Reg.Dat.Pl.Fem	-	pn	7	-	no	0	-	-	-	-	-
68	70	den	den	der	ART	ART.Def.Acc.Sg.Masc	-	det	13	-	no	0	-	-	-	-	-
72	75	Leib	Leib	Leib	NN	N.Reg.Acc.Sg.Masc	-	obja	17	-	no	0	-	-	-	-	-
77	79	der	der	der	ART	ART.Def.Gen.Sg.Fem	39|40|73|74|101|223|224|249|250|260|309|310|361|362|425|426|428|465|466|494|495|551|552|593|594|601|602|615|625|628	det	16	-	no	0	-	-	-	-	-
81	87	schönen	schönen	schön	ADJA	ADJA.Pos.Gen.Sg.Fem	39|40|73|74|101|223|224|249|250|260|309|310|361|362|425|426|428|465|466|494|495|551|552|593|594|601|602|615|625|628	attr	16	-	no	0	-	-	-	-	-
89	98	Prinzessin	Prinzessin	Prinzessin	NN	N.Reg.Gen.Sg.Fem	39|40|73|74|101|223|224|249|250|260|309|310|361|362|425|426|428|465|466|494|495|551|552|593|594|601|602|615|625|628	gmod	13	-	no	0	-	-	-	-	-
100	106	berührt	berührt	berühren	VVPP	VPP.Full.Psp	-	aux	18	-	no	0	-	-	-	-	-
108	113	hatten	hatten	haben	VAFIN	VFIN.Haben.3.Pl.Past.Ind	-	cj	5	-	no	0	-	-	-	-	-
115	115	,	,	--	$,	SYM.Pun.Comma	-	root	19	-	no	0	-	-	-	-	-
117	123	gähnten	gähnten	gähnen	VVFIN	VFIN.Full.3.Pl.Past.Ind	-	cj	0	-	no	0	-	-	-	-	-
125	127	sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	2|8	subj	20	-	no	0	-	-	-	-	-
129	137	ebenfalls	ebenfalls	ebenfalls	ADV	ADV	-	adv	20	-	no	0	-	-	-	-	-
139	141	wie	wie	wie	KOKOM	CONJ.Comp.-	-	kom	20	-	no	0	-	-	-	-	-
143	146	toll	toll	toll	ADJD	ADJD.Pos	-	cj	23	-	no	0	-	-	-	-	-
148	148	.	.	--	$.	SYM.Pun.Sent	-	root	25	-	no	0	-	-	-	-	-
150	151	Da	Da	da	ADV	ADV	-	adv	27	-	yes	1	-	-	-	-	-
153	157	brach	brach	ausbrechen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	root	27	-	no	1	-	-	-	-	-
159	161	der	der	der	ART	ART.Def.Nom.Sg.Masc	-	det	30	-	no	1	-	-	-	-	-
163	167	ganze	ganze	ganz	ADJA	ADJA.Pos.Nom.Sg.Masc	-	attr	30	-	no	1	-	-	-	-	-
169	173	Trupp	Trupp	Trupp	NN	N.Reg.Nom.Sg.Masc	-	subj	27	-	no	1	-	-	-	-	-
175	176	in	in	in	APPR	APPR.In	-	pp	27	-	no	1	-	-	-	-	-
178	183	Lachen	Lachen	Lachen	NN	N.Reg.Dat.Sg.Neut	-	pn	31	-	no	1	-	-	-	-	-
185	187	aus	aus	aus	PTKVZ	PART.Verb	-	avz	27	-	no	1	-	-	-	-	-
189	191	und	und	und	KON	CONJ.Coord.-	-	kon	27	-	no	1	-	-	-	-	-
193	198	rannte	rannte	rennen	VVFIN	VFIN.Full.3.Sg.Past.Ind	-	cj	34	-	no	1	-	-	-	-	-
200	202	von	von	von	APPR	APPR.Dat	-	pp	35	-	no	1	-	-	-	-	-
204	209	dannen	dannen	dannen	ADV	ADJA.Pos.Dat.Pl.Fem	-	pn	36	-	no	1	-	-	-	-	-
211	211	.	.	--	$.	SYM.Pun.Sent	-	root	38	-	no	1	-	-	-	-	-
213	215	Die	Die	der	ART	ART.Def.Nom.Sg.Fem	14|15|16|73|74|101|223|224|249|250|260|309|310|361|362|425|426|428|465|466|494|495|551|552|593|594|601|602|615|625|628	det	40	-	yes	2	-	-	-	-	-
217	226	Prinzessin	Prinzessin	Prinzessin	NN	N.Reg.Nom.Sg.Fem	14|15|16|73|74|101|223|224|249|250|260|309|310|361|362|425|426|428|465|466|494|495|551|552|593|594|601|602|615|625|628	subj	41	-	no	2	-	-	-	-	-
228	230	war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	-	root	41	-	no	2	-	-	-	-	-
232	234	aus	aus	aus	APPR	APPR.Dat	-	pp	46	-	no	2	-	-	-	-	-
236	240	einer	einer	ein	ART	ART.Indef.Dat.Sg.Fem	-	det	45	-	no	2	-	-	-	-	-
242	247	großen	großen	groß	ADJA	ADJA.Pos.Dat.Sg.Fem	-	attr	45	-	no	2	-	-	-	-	-
249	254	Gefahr	Gefahr	Gefahr	NN	N.Reg.Dat.Sg.Fem	-	pn	42	-	no	2	-	-	-	-	-
256	263	gerettet	gerettet	retten	VVPP	VPP.Full.Psp	-	aux	41	-	no	2	-	-	-	-	-
265	265	.	.	--	$.	SYM.Pun.Sent	-	root	47	-	no	2	-	-	-	-	-
267	269	Die	Die	der	ART	ART.Def.Nom.Pl.Fem	51	det	49	-	yes	3	-	frame.23	-	-	-
